delta_f,delta_tau,mf_solar,final_spin
0.0007082564,0.047462957,55.5,0.7
0.00029005373,0.002195678,55.5,0.7
-0.002178255,0.016571737,55.5,0.7
-0.022371279,0.068896212,55.5,0.7
-0.0036271044,-0.081408225,55.5,0.7
-0.052544793,0.025844823,55.5,0.7
-0.05540379,0.035525061,55.5,0.7
-0.048163579,-0.0061574069,55.5,0.7
0.0018298763,0.025384631,55.5,0.7
0.031543524,-0.047774263,55.5,0.7
-0.022413556,0.019804687,55.5,0.7
-0.026216367,0.048121691,55.5,0.7
-0.018157798,0.058590177,55.5,0.7
0.04511863,-0.01792847,55.5,0.7
-0.0027278257,0.063335652,55.5,0.7
-0.0060858616,0.032322244,55.5,0.7
-0.025969946,0.050347754,55.5,0.7
0.0059716367,0.013945233,55.5,0.7
0.030164354,0.059364676,55.5,0.7
-0.0030927696,0.026459233,55.5,0.7
-0.033040475,0.1555725,55.5,0.7
0.030627208,0.0027537521,55.5,0.7
-0.0094175829,0.081759212,55.5,0.7
0.044699946,0.022440433,55.5,0.7
-0.040352092,-0.083753708,55.5,0.7
-0.013141159,0.040768152,55.5,0.7
-0.00072956668,0.088566993,55.5,0.7
-0.061289083,0.04812389,55.5,0.7
-0.0058706391,0.06084357,55.5,0.7
0.0096365611,-0.032645085,55.5,0.7
-0.012574039,0.03051642,55.5,0.7
0.0044097955,-0.068250625,55.5,0.7
-0.0034870596,0.12153894,55.5,0.7
-0.034206422,0.10156297,55.5,0.7
0.012763383,-0.045825078,55.5,0.7
-0.031494618,-0.015457374,55.5,0.7
-0.018093946,-0.063811365,55.5,0.7
-0.031199276,-0.037128849,55.5,0.7
0.010068112,-0.010346704,55.5,0.7
-0.023263196,-0.061346203,55.5,0.7
-0.023419386,-0.018318471,55.5,0.7
-0.073408713,0.038344095,55.5,0.7
-0.017613311,-0.0065082406,55.5,0.7
0.020537404,0.062008371,55.5,0.7
-0.071813335,-0.01031111,55.5,0.7
0.0016592875,0.020714088,55.5,0.7
-0.010633713,-0.064633581,55.5,0.7
-0.061414913,0.058168344,55.5,0.7
-0.021949922,-0.059213581,55.5,0.7
0.018950027,-0.0040440471,55.5,0.7
-0.0097525229,-0.065825301,55.5,0.7
0.00099313198,0.044836334,55.5,0.7
0.023654198,-0.04482158,55.5,0.7
-0.019134012,0.044845915,55.5,0.7
0.016427428,0.1345422,55.5,0.7
-0.046715913,0.025579758,55.5,0.7
-0.0352186,-0.12943648,55.5,0.7
0.033863136,0.081103515,55.5,0.7
0.031089248,0.031154286,55.5,0.7
0.018621252,0.055327426,55.5,0.7
-0.054122388,0.02874469,55.5,0.7
-0.016009138,0.081874539,55.5,0.7
-0.035750346,0.069252193,55.5,0.7
0.048043283,0.020856719,55.5,0.7
-0.049348636,-0.070460881,55.5,0.7
-0.047129235,0.00037363776,55.5,0.7
-0.026845667,0.05630537,55.5,0.7
0.00077174892,-0.098044922,55.5,0.7
-0.026326083,0.018957478,55.5,0.7
-0.017931093,-0.097952801,55.5,0.7
-7.7783012e-05,0.08313589,55.5,0.7
-0.0079993836,0.12629683,55.5,0.7
-0.064809792,0.055734778,55.5,0.7
-0.046234057,-0.019447392,55.5,0.7
0.039893499,0.071464622,55.5,0.7
-0.0073550104,0.095259999,55.5,0.7
0.045473713,0.12655648,55.5,0.7
0.034794663,0.10905546,55.5,0.7
0.024408345,0.087142262,55.5,0.7
-0.0065557618,-0.04532128,55.5,0.7
0.037309193,0.017225543,55.5,0.7
